Tree,Accuracy,Dropped,Adaboost,Accuracy,Dropped,XGB,Accuracy,Dropped,Gradient,Accuracy,Dropped,LogReg,Accuracy,,,,,GB2 with Learning Rate,,,,,,,,,XGB3 with Learning Rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.15,64.148571,,,,,,,,,,,,,,,,,,ADAB8 with Learning Rate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learning rate,mean accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,47.697778
,,,,,,,,,,,,,,,,,,GB3 with Learning Rate,,,,,,,,,,,,,,,,,,,0.02,48.173333
,,,,,,,,,,,,,,,,,,learning rate,mean accuracy,,,,,,,,,,,,,,,,,,0.03,48.490159
,,,,,,,,,,,,,,,,,,0.01,66.854603,,,,,,,,,,,,,,,,,,0.04,47.455238
,,,,,,,,,,,,,,,,,,0.02,67.491429,,,,,,,,,,,,,,,,,,0.05,48.252698
,,,,,,,,,,,,,,,,,,0.03,67.491429,,,,,,,,,,,,,,,,,,0.06,47.692698
,,,,,,,,,,,,,,,,,,0.04,66.615238,,,,,,,,,,,,,,,,,,0.07,47.612063
,,,,,,,,,,,,,,,,,,0.05,66.615873,,,,,,,,,,,,,,,,,,0.08,47.533333
,,,,,,,,,,,,,,,,,,0.06,66.535873,,,,,,,,,,,,,,,,,,0.09,47.692698
,,,,,,,,,,,,,,,,,,0.07,65.979048,,,,,,,,,,,,,,,,,,0.1,47.375238
,,,,,,,,,,,,,,,,,,0.08,65.579048,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.09,65.660952,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.1,65.183492,,,,,,,,,,,,,,,,,,,
